db,db_label,prompt_type,model,issue_type,issue_label,poem_count,poem_ratio,issue_count,avg_count_per_poem
a1,无限制生成,type_c,deepseek-3.2-thinking,length_mismatch,字数不符,2,0.040000,2,0.040000
a1,无限制生成,type_c,deepseek-3.2-thinking,tone_expected_flat,应平实仄,28,0.560000,86,1.720000
a1,无限制生成,type_c,deepseek-3.2-thinking,tone_expected_oblique,应仄实平,22,0.440000,57,1.140000
a1,无限制生成,type_c,deepseek-3.2-thinking,rhyme_mismatch,出韵/押韵问题,1,0.020000,1,0.020000
a1,无限制生成,type_c,deepseek-3.2-thinking,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,length_mismatch,字数不符,2,0.040000,2,0.040000
a1,无限制生成,type_c,doubao-seed-2.0-pro,tone_expected_flat,应平实仄,3,0.060000,5,0.100000
a1,无限制生成,type_c,doubao-seed-2.0-pro,tone_expected_oblique,应仄实平,2,0.040000,2,0.040000
a1,无限制生成,type_c,doubao-seed-2.0-pro,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3-flash,length_mismatch,字数不符,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3-flash,tone_expected_flat,应平实仄,10,0.500000,33,1.650000
a1,无限制生成,type_c,gemini-3-flash,tone_expected_oblique,应仄实平,8,0.400000,24,1.200000
a1,无限制生成,type_c,gemini-3-flash,rhyme_mismatch,出韵/押韵问题,1,0.050000,1,0.050000
a1,无限制生成,type_c,gemini-3-flash,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3-flash,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3-flash,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,length_mismatch,字数不符,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,tone_expected_flat,应平实仄,1,0.100000,3,0.300000
a1,无限制生成,type_c,gemini-3.1-pro,tone_expected_oblique,应仄实平,1,0.100000,1,0.100000
a1,无限制生成,type_c,gemini-3.1-pro,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,glm-4.7,length_mismatch,字数不符,17,0.377778,17,0.377778
a1,无限制生成,type_c,glm-4.7,tone_expected_flat,应平实仄,19,0.422222,102,2.266667
a1,无限制生成,type_c,glm-4.7,tone_expected_oblique,应仄实平,19,0.422222,78,1.733333
a1,无限制生成,type_c,glm-4.7,rhyme_mismatch,出韵/押韵问题,5,0.111111,13,0.288889
a1,无限制生成,type_c,glm-4.7,unknown_char,未收录字警告,3,0.066667,3,0.066667
a1,无限制生成,type_c,glm-4.7,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,glm-4.7,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,glm-5,length_mismatch,字数不符,4,0.080000,4,0.080000
a1,无限制生成,type_c,glm-5,tone_expected_flat,应平实仄,20,0.400000,71,1.420000
a1,无限制生成,type_c,glm-5,tone_expected_oblique,应仄实平,15,0.300000,56,1.120000
a1,无限制生成,type_c,glm-5,rhyme_mismatch,出韵/押韵问题,3,0.060000,6,0.120000
a1,无限制生成,type_c,glm-5,unknown_char,未收录字警告,1,0.020000,1,0.020000
a1,无限制生成,type_c,glm-5,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,glm-5,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,length_mismatch,字数不符,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,tone_expected_flat,应平实仄,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,tone_expected_oblique,应仄实平,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,rhyme_mismatch,出韵/押韵问题,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,gpt-5.4-high,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,kimi-k2.5,length_mismatch,字数不符,2,0.071429,2,0.071429
a1,无限制生成,type_c,kimi-k2.5,tone_expected_flat,应平实仄,21,0.750000,62,2.214286
a1,无限制生成,type_c,kimi-k2.5,tone_expected_oblique,应仄实平,13,0.464286,36,1.285714
a1,无限制生成,type_c,kimi-k2.5,rhyme_mismatch,出韵/押韵问题,2,0.071429,3,0.107143
a1,无限制生成,type_c,kimi-k2.5,unknown_char,未收录字警告,1,0.035714,1,0.035714
a1,无限制生成,type_c,kimi-k2.5,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,kimi-k2.5,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3-max,length_mismatch,字数不符,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3-max,tone_expected_flat,应平实仄,4,0.083333,23,0.479167
a1,无限制生成,type_c,qwen3-max,tone_expected_oblique,应仄实平,3,0.062500,31,0.645833
a1,无限制生成,type_c,qwen3-max,rhyme_mismatch,出韵/押韵问题,4,0.083333,10,0.208333
a1,无限制生成,type_c,qwen3-max,unknown_char,未收录字警告,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3-max,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3-max,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3.5-flash,length_mismatch,字数不符,9,0.180000,9,0.180000
a1,无限制生成,type_c,qwen3.5-flash,tone_expected_flat,应平实仄,20,0.400000,69,1.380000
a1,无限制生成,type_c,qwen3.5-flash,tone_expected_oblique,应仄实平,18,0.360000,48,0.960000
a1,无限制生成,type_c,qwen3.5-flash,rhyme_mismatch,出韵/押韵问题,4,0.080000,7,0.140000
a1,无限制生成,type_c,qwen3.5-flash,unknown_char,未收录字警告,3,0.060000,3,0.060000
a1,无限制生成,type_c,qwen3.5-flash,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3.5-flash,other,其他,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3.6-plus,length_mismatch,字数不符,10,0.204082,10,0.204082
a1,无限制生成,type_c,qwen3.6-plus,tone_expected_flat,应平实仄,15,0.306122,37,0.755102
a1,无限制生成,type_c,qwen3.6-plus,tone_expected_oblique,应仄实平,14,0.285714,26,0.530612
a1,无限制生成,type_c,qwen3.6-plus,rhyme_mismatch,出韵/押韵问题,1,0.020408,1,0.020408
a1,无限制生成,type_c,qwen3.6-plus,unknown_char,未收录字警告,1,0.020408,1,0.020408
a1,无限制生成,type_c,qwen3.6-plus,variant_autocorrect,词牌变体智能纠偏,0,0.000000,0,0.000000
a1,无限制生成,type_c,qwen3.6-plus,other,其他,0,0.000000,0,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,length_mismatch,字数不符,19,0.095000,19,0.095000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,tone_expected_flat,应平实仄,75,0.375000,289,1.445000
