db,db_label,prompt_type,model,rank,count,issue_type,issue_label,message
a1,无限制生成,type_c,deepseek-3.2-thinking,1,5,tone_expected_flat,应平实仄,「码」上声（仄），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,2,4,tone_expected_flat,应平实仄,「拟」上声（仄），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,3,4,tone_expected_flat,应平实仄,「似」上声（仄）（多音字，取上声读），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,4,3,tone_expected_oblique,应仄实平,「情」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,5,3,tone_expected_flat,应平实仄,「暗」去声（仄）（多音字，取去声读），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,6,3,tone_expected_flat,应平实仄,「法」入声（仄），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,7,3,tone_expected_oblique,应仄实平,「人」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,8,2,tone_expected_oblique,应仄实平,「生」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,9,2,tone_expected_flat,应平实仄,「点」上声（仄）（多音字，取上声读），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,10,2,tone_expected_flat,应平实仄,「海」上声（仄），此处须填平声字
a1,无限制生成,type_c,deepseek-3.2-thinking,11,2,tone_expected_oblique,应仄实平,「茫」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,12,2,tone_expected_oblique,应仄实平,「盘」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,13,2,tone_expected_oblique,应仄实平,「虚」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,14,2,tone_expected_oblique,应仄实平,「千」平声（平），此处须填仄声字
a1,无限制生成,type_c,deepseek-3.2-thinking,15,2,tone_expected_oblique,应仄实平,「终」平声（平），此处须填仄声字
a1,无限制生成,type_c,doubao-seed-2.0-pro,1,1,tone_expected_oblique,应仄实平,「汀」平声（平），此处须填仄声字
a1,无限制生成,type_c,doubao-seed-2.0-pro,2,1,tone_expected_flat,应平实仄,「剥」入声（仄），此处须填平声字
a1,无限制生成,type_c,doubao-seed-2.0-pro,3,1,length_mismatch,字数不符,字数不符：该变体要求 55 字，实际 48 字，相差 7 字
