句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
deepseek-3.2-thinking,清平乐,感怀宗规,云锁峰峦千叠,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8875,0.1538,0.7337
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,登望云峰有感,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,宗阁抒怀,云锁层峰,qwen3.6-plus,菩萨蛮,云崖问剑,灵峰叠嶂锁云岫,0.8536,0.1818,0.6718
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,霜凝剑锷,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8824,0.2222,0.6602
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,霜凝剑锷,qwen3.6-plus,浪淘沙,宗门规诫有感,剑气凝霜,0.9091,0.2500,0.6591
deepseek-3.2-thinking,菩萨蛮,宗规思变,改革路艰深,deepseek-3.2-thinking,沁园春,宗规思变,变革途多阻,0.8584,0.2000,0.6584
deepseek-3.2-thinking,沁园春,宗规感怀,权衡利弊,deepseek-3.2-thinking,沁园春,仙门思变,有弊利相权,0.8801,0.2222,0.6578
doubao-seed-2.0-pro,清平乐,宗门夜坐感怀,霜凝剑鞘,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8744,0.2222,0.6522
deepseek-3.2-thinking,沁园春,宗规思变,变革途多阻,deepseek-3.2-thinking,祝英台近,宗规思变,改革路艰险,0.8509,0.2000,0.6509
deepseek-3.2-thinking,浪淘沙,宗规感怀,规矩卫宗风,deepseek-3.2-thinking,沁园春,宗规感怀,宗派规严,0.8689,0.2222,0.6466
qwen3.6-plus,沁园春,宗律有感,严霜砺剑,glm-5,祝英台近,宗规,寒剑凛霜刃,0.8590,0.2222,0.6368
qwen3.6-plus,浪淘沙,清规叹,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
qwen3.6-plus,浪淘沙,宗门夜叹,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独对阑干,glm-5,浪淘沙,宗门旧规感怀,独倚危栏,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独对阑干,glm-5,浪淘沙,宗门感怀,独倚危栏,0.8860,0.2500,0.6360
glm-5,沁园春,宗门旧制,独倚危栏,glm-5,沁园春,宗门旧制,独对阑干,0.8860,0.2500,0.6360
doubao-seed-2.0-pro,浪淘沙,松寮夜坐抒怀,动议众声嘲,glm-5,浪淘沙,规矩之叹,众议喧繁,0.8582,0.2222,0.6360
doubao-seed-2.0-pro,沁园春,凌霄峰感事,锋凝霜雪,qwen3.6-plus,祝英台近,剑阁秋思,霜刃凝秋玉,0.8578,0.2222,0.6356
deepseek-3.2-thinking,清平乐,宗门感事,宗规旧矩,deepseek-3.2-thinking,清平乐,规变沉吟,规矩保宗风,0.8569,0.2222,0.6347
doubao-seed-2.0-pro,沁园春,宗门感事,霜凝剑匣,qwen3.6-plus,菩萨蛮,云阶问律,剑魄凝霜重,0.8565,0.2222,0.6343
doubao-seed-2.0-pro,沁园春,宗阁有所思,霜横剑锷,qwen3.6-plus,祝英台近,云崖戒尺吟,剑阁霜锋冷,0.8564,0.2222,0.6342
qwen3.6-plus,祝英台近,云崖问剑,霜毛渐染,glm-5,浪淘沙,宗门感怀,鬓染霜斑,0.8834,0.2500,0.6334
doubao-seed-2.0-pro,沁园春,宗阁有所思,霜横剑锷,glm-5,沁园春,宗门改制有感,剑气横秋,0.8802,0.2500,0.6302
deepseek-3.2-thinking,沁园春,改革之思,规训承传,qwen3.6-plus,沁园春,宗门夜思,师尊垂训,0.8787,0.2500,0.6287
qwen3.6-plus,清平乐,道枢偶感,严规冷矩,qwen3.6-plus,清平乐,观规有感,清规严锢,0.8781,0.2500,0.6281
