句1模型,句1词牌,句1题目,句1内容,句2模型,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,沁园春,庭前观玉兰作,嫩蕊凝霜,deepseek-3.2-thinking,沁园春,玉兰初绽寄怀,琼苞乍绽,0.8623,0.0000,0.8623
deepseek-3.2-thinking,沁园春,见玉兰有感,素蕊含霜,qwen3.6-plus,沁园春,庭前玉兰见志,玉葩凝露,0.8560,0.0000,0.8560
doubao-seed-2.0-pro,沁园春,庭前观玉兰作,嫩蕊凝霜,doubao-seed-2.0-pro,沁园春,校园见玉兰花感怀,寒苞浥露,0.8554,0.0000,0.8554
deepseek-3.2-thinking,沁园春,见玉兰有感,冰骨凌霜,deepseek-3.2-thinking,沁园春,玉兰悟,清姿傲雪,0.8546,0.0000,0.8546
doubao-seed-2.0-pro,沁园春,寓楼见玉兰作,寒凝素骨,deepseek-3.2-thinking,沁园春,玉兰寄怀,玉质冰肌,0.8513,0.0000,0.8513
doubao-seed-2.0-pro,沁园春,校园观玉兰花感怀,抬首处,qwen3.6-plus,沁园春,玉兰偶得,回头望,0.8511,0.0000,0.8511
doubao-seed-2.0-pro,沁园春,春暮见檐下玉兰感作,抬首处,qwen3.6-plus,沁园春,玉兰偶得,回头望,0.8511,0.0000,0.8511
doubao-seed-2.0-pro,沁园春,春日见玉兰有感,抬首处,qwen3.6-plus,沁园春,玉兰偶得,回头望,0.8511,0.0000,0.8511
deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨清姿,qwen3.6-plus,沁园春,见玉兰有感,冰肌自洁,0.8508,0.0000,0.8508
deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨清姿,qwen3.6-plus,沁园春,玉兰偶悟,冰肌自洁,0.8508,0.0000,0.8508
deepseek-3.2-thinking,沁园春,见玉兰感怀,玉骨清姿,qwen3.6-plus,沁园春,见玉兰有感,冰肌自洁,0.8508,0.0000,0.8508
deepseek-3.2-thinking,沁园春,见玉兰感怀,玉骨清姿,qwen3.6-plus,沁园春,玉兰偶悟,冰肌自洁,0.8508,0.0000,0.8508
deepseek-3.2-thinking,沁园春,遇玉兰有感,见玉骨冰肌自傲霜,deepseek-3.2-thinking,沁园春,遇玉兰有感,念冰姿傲骨,0.8868,0.1538,0.7329
deepseek-3.2-thinking,沁园春,遇玉兰有感,见玉骨冰肌自傲霜,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.8881,0.1667,0.7215
deepseek-3.2-thinking,沁园春,白玉兰下作,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,白玉兰感怀,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,见玉兰有感,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,玉兰新悟,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,玉兰新悟,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
deepseek-3.2-thinking,沁园春,玉兰悟,玉骨冰肌,deepseek-3.2-thinking,沁园春,玉兰咏怀,雪肌冰骨,0.9714,0.2500,0.7214
